Molecule ChEMBL ID,Smiles,Actual pChEMBL,Predicted pChEMBL,Residuals,Leverage,Ipc,BCUT2D_CHGLO,SMR_VSA9,BCUT2D_LOGPHI,VSA_EState4,AvgIpc,PEOE_VSA3,VSA_EState8,MaxPartialCharge
CHEMBL2018221,Cc1c(Cn2c(C3CC3)nn3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,7.4,7.403104271218113,-0.003104271218112409,0.004822912599483128,18874089.062868387,-2.2706230723953986,0.0,2.398858966959433,-0.24318703813021858,3.5157440405250058,0.0,4.002969192770781,0.4161749444450535
CHEMBL4472147,CNC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1,7.4,7.230556273510465,0.16944372648953543,0.0017625564290271794,89545739.36289625,-2.3142332634350216,11.387855989696924,2.347836772356191,7.331701339018758,3.2757363811738314,24.730451267860655,5.700750780093226,0.3142467407804836
CHEMBL2216884,C[C@@H](c1nc2ccsc2c(=O)n1-c1ccccc1)n1cnc2c(N)ncnc21,7.4,7.4294923930037085,-0.029492393003708095,0.002021672637763011,5581945.91255333,-2.1883659573393714,5.687386274683562,2.257307146656567,8.393258970216491,3.3562774857578273,19.935914083788834,1.9571768707482993,0.2756262541724168
CHEMBL4869356,COc1ncc(C2=CCOCC2)cc1S(=O)(=O)Nc1cncc(-c2ccc(CN3CCN(C)CC3)cc2)c1,7.4,7.551259804650096,-0.15125980465009548,0.0011889262061682625,457451976.7459055,-2.318805997774995,17.00689131982936,2.2997523661802575,5.139366099644743,2.9457882560832793,13.401775505276145,6.325138039144933,0.26685442058462644
CHEMBL1957841,O=c1cc(N2CCOCC2)nc2n(Cc3cccc4ccccc34)ccn12,7.4,7.279061258270477,0.12093874172952379,0.0032218475432032414,3659803.4990545902,-2.2713571342262813,0.0,2.2035871809674417,1.1485056584362143,3.1225500309324725,0.0,3.506231507299675,0.260667033468792
CHEMBL3408257,C[C@@H](Nc1cc(F)cc(F)c1F)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,7.39,7.401593686431327,-0.0115936864313273,0.002247320295645714,34717164.763981625,-2.2742358752453304,0.0,2.3152467400554775,0.028495997866037515,2.8112867451889727,13.171245143024459,3.632904755454705,0.2528722797195537
CHEMBL5182864,Cc1nc2cnc3ccc(-c4cnc5ccccc5c4)cc3c2n1-c1ccc(F)cc1,7.39,7.211612116057514,0.17838788394248528,0.0022407022558658483,27917039.490678668,-2.100638296775547,16.814289258077554,2.314731560686928,6.597773047592674,3.1504081622594646,9.374393568622029,1.9506889668172136,0.122860127225706
CHEMBL3930649,Cc1ccn2nc([C@H](C)Nc3ncnc4[nH]cc(C(=O)NCCc5cn[nH]c5)c34)n(-c3ccccc3)c(=O)c12,7.39,7.569707189542502,-0.1797071895425022,0.00282262885815636,1380487791.3118799,-2.1982887789379593,5.687386274683562,2.269081196237049,3.8220408147735103,3.697151817365523,14.48335493551004,4.232652429082128,0.2823044731851823
CHEMBL2165667,CN(C)C1CCN(Cc2cc3nc(-c4cccc5c4CC(=O)N5)nc(N4CCOCC4)c3s2)CC1,7.39,7.5809405790878115,-0.1909405790878118,0.0011279436854123792,188977371.67015806,-2.344345826707881,11.387855989696924,2.376199112642792,3.79682391508999,3.4552493399895265,9.967957041894417,6.270719613689838,0.22840865331283708
CHEMBL3943594,O=C(CO)N1CCN(Cc2csc3c(-c4cccc5[nH]ncc45)nc(N4CCOCC4)nc23)CC1,7.39,7.456056575973576,-0.06605657597357606,0.0012153181283062553,248594812.2340234,-2.339024102587893,11.257379486545457,2.3740859599163353,5.106825651150598,3.5580338048607505,9.967957041894417,5.993579309505639,0.24786384066453812
